,sentence_idx,tag,word
0,1,B-BRAND,dghfjgeifgi
1,1,B-PROD,Face
2,1,I-PROD,mask
3,1,O,with
4,1,D-MORE,more
5,1,O,than
6,1,B-DISC,25%
7,1,O,discount
8,2,B-BRAND,dghfjgeifgi
9,2,B-PROD,Face
10,2,I-PROD,mask
11,2,O,with
12,2,D-MORE,more
13,2,O,than
14,2,B-DISC,25
15,2,O,discount
16,3,B-PROD,bike
17,3,P-LESS,less
18,3,O,than
19,3,B-PRICE,300
20,3,O,rupess
21,4,B-PROD,bike
22,4,P-LESS,less
23,4,O,than
24,4,B-PRICE,300
25,4,O,rupess
26,5,B-BRAND,dghfjgeifgi
27,5,B-PROD,Face
28,5,I-PROD,mask
29,5,O,with
30,5,D-MORE,more
31,5,O,than
32,5,B-DISC,25%
33,5,O,discount
34,5,O,and
35,5,P-LESS,less
36,5,O,than
37,5,B-PRICE,150
38,5,O,rupess
39,6,B-BRAND,dghfjgeifgi
40,6,B-PROD,Face
41,6,I-PROD,mask
42,6,O,with
43,6,D-MORE,more
44,6,O,than
45,6,B-DISC,26
46,6,O,discount
47,6,O,and
48,6,P-LESS,less
49,6,O,than
50,6,B-PRICE,150
51,6,O,rupess
52,7,B-BRAND,dghfjgeifgi
53,7,B-PROD,Face
54,7,I-PROD,mask
55,7,O,with
56,7,D-MORE,more
57,7,O,than
58,7,B-DISC,25%
59,7,O,discount
60,7,O,and
61,7,P-LESS,less
62,7,O,than
63,7,B-PRICE,153
64,8,B-BRAND,dghfjgeifgi
65,8,B-PROD,Face
66,8,I-PROD,mask
67,8,O,with
68,8,D-MORE,more
69,8,O,than
70,8,B-DISC,25%
71,8,O,discount
72,8,O,and
73,8,P-LESS,less
74,8,O,than
75,8,B-PRICE,153
76,8,O,rupess
77,9,B-BRAND,dghfjgeifgi
78,9,B-PROD,Face
79,9,I-PROD,mask
80,9,O,with
81,9,D-MORE,more
82,9,O,than
83,9,B-DISC,25%
84,9,O,discount
85,9,O,and
86,9,P-LESS,less
87,9,O,than
88,9,B-PRICE,153
89,9,O,rupess
90,10,B-BRAND,dghfjgeifgi
91,10,B-PROD,Face
92,10,I-PROD,mask
93,10,P-LESS,less
94,10,O,than
95,10,B-PRICE,150
96,10,O,rs
97,11,B-BRAND,Himalyas
98,11,B-PROD,Face
99,11,I-PROD,mask
100,11,O,with
101,11,D-MORE,more
102,11,O,than
103,11,B-DISC,25%
104,11,O,discount
105,12,B-BRAND,Himalyas
106,12,B-PROD,Face
107,12,I-PROD,mask
108,12,O,with
109,12,D-MORE,more
110,12,O,than
111,12,B-DISC,25
112,12,O,discout
113,13,B-PROD,bike
114,13,P-LESS,less
115,13,O,than
116,13,B-PRICE,300
117,13,O,rs
118,14,B-PROD,bike
119,14,P-LESS,less
120,14,O,than
121,14,B-PRICE,300
122,14,O,rupess
123,15,B-BRAND,Himalyas
124,15,B-PROD,Face
125,15,I-PROD,mask
126,15,O,with
127,15,D-MORE,more
128,15,O,than
129,15,B-DISC,25%
130,15,O,discount
131,15,O,and
132,15,P-LESS,less
133,15,O,than
134,15,B-PRICE,150
135,15,O,rs
136,16,B-BRAND,Himalyas
137,16,B-PROD,Face
138,16,I-PROD,mask
139,16,O,with
140,16,D-MORE,more
141,16,O,than
142,16,B-DISC,26
143,16,O,discount
144,16,O,and
145,16,P-LESS,less
146,16,O,than
147,16,B-PRICE,150
148,16,O,rs
149,17,B-BRAND,Himalyas
150,17,B-PROD,Face
151,17,I-PROD,mask
152,17,O,with
153,17,D-MORE,more
154,17,O,than
155,17,B-DISC,25%
156,17,O,discount
157,17,O,and
158,17,P-LESS,less
159,17,O,than
160,17,B-PRICE,153
161,18,B-BRAND,Himalyas
162,18,B-PROD,Face
163,18,I-PROD,mask
164,18,O,with
165,18,D-MORE,more
166,18,O,than
167,18,B-DISC,25%
168,18,O,discount
169,18,O,and
170,18,P-LESS,less
171,18,O,than
172,18,B-PRICE,153
173,18,O,rupess
174,19,B-BRAND,Himalyas
175,19,B-PROD,Face
176,19,I-PROD,mask
177,19,O,with
178,19,D-MORE,more
179,19,O,than
180,19,B-DISC,25%
181,19,O,discount
182,19,O,and
183,19,P-LESS,less
184,19,O,than
185,19,B-PRICE,153
186,19,O,rupess
187,20,B-BRAND,Himalyas
188,20,B-PROD,Face
189,20,I-PROD,mask
190,20,P-LESS,less
191,20,O,than
192,20,B-PRICE,150
193,20,O,rs
194,21,B-PROD,Gold
195,21,I-PROD,Massage
196,21,O,with
197,21,D-MORE,more
198,21,O,than
199,21,B-DISC,25%
200,21,O,discount
201,22,B-PROD,Gold
202,22,I-PROD,Massage
203,22,O,with
204,22,D-MORE,more
205,22,O,than
206,22,B-DISC,25
207,22,O,discount
208,23,B-PROD,Shampoos
209,23,P-LESS,less
210,23,O,than
211,23,B-PRICE,300
212,23,O,rs
213,24,B-PROD,Shampoos
214,24,P-LESS,less
215,24,O,than
216,24,B-PRICE,300
217,24,O,rupess
218,25,B-PROD,Gold
219,25,I-PROD,Massage
220,25,O,with
221,25,D-MORE,more
222,25,O,than
223,25,B-DISC,25%
224,25,O,discount
225,25,O,and
226,25,P-LESS,less
227,25,O,than
228,25,B-PRICE,150
229,25,O,rs
230,26,B-PROD,Gold
231,26,I-PROD,Massage
232,26,O,with
233,26,D-MORE,more
234,26,O,than
235,26,B-DISC,26
236,26,O,discount
237,26,O,and
238,26,P-LESS,less
239,26,O,than
240,26,B-PRICE,150
241,26,O,rs
242,27,B-PROD,Gold
243,27,I-PROD,Massage
244,27,O,with
245,27,D-MORE,more
246,27,O,than
247,27,B-DISC,25%
248,27,O,discount
249,27,O,and
250,27,P-LESS,less
251,27,O,than
252,27,B-PRICE,153
253,28,B-PROD,Gold
254,28,I-PROD,Massage
255,28,O,with
256,28,D-MORE,more
257,28,O,than
258,28,B-DISC,25%
259,28,O,discount
260,28,O,and
261,28,P-LESS,less
262,28,O,than
263,28,B-PRICE,153
264,28,O,rupess
265,29,B-PROD,Gold
266,29,I-PROD,Massage
267,29,O,with
268,29,D-MORE,more
269,29,O,than
270,29,B-DISC,25%
271,29,O,discount
272,29,O,and
273,29,P-LESS,less
274,29,O,than
275,29,B-PRICE,153
276,29,O,rupess
277,30,B-PROD,Gold
278,30,I-PROD,Massage
279,30,P-LESS,less
280,30,O,than
281,30,B-PRICE,150
282,30,O,rs
283,31,B-PROD,Fruit
284,31,I-PROD,Facewash
285,31,O,with
286,31,D-MORE,more
287,31,O,than
288,31,B-DISC,25%
289,31,O,discount
290,32,B-PROD,Fruit
291,32,I-PROD,Facewash
292,32,O,with
293,32,D-MORE,more
294,32,O,than
295,32,B-DISC,25
296,32,O,discount
297,33,B-PROD,Shampoos
298,33,P-LESS,less
299,33,O,than
300,33,B-PRICE,600
301,33,O,rs
302,34,B-PROD,Shampoos
303,34,P-LESS,less
304,34,O,than
305,34,B-PRICE,600
306,34,O,rupess
307,35,B-PROD,Fruit
308,35,I-PROD,Facewash
309,35,O,with
310,35,D-MORE,more
311,35,O,than
312,35,B-DISC,25%
313,35,O,discount
314,35,O,and
315,35,P-LESS,less
316,35,O,than
317,35,B-PRICE,150
318,35,O,rs
319,36,B-PROD,Fruit
320,36,I-PROD,Facewash
321,36,O,with
322,36,D-MORE,more
323,36,O,than
324,36,B-DISC,26
325,36,O,discount
326,36,O,and
327,36,P-LESS,less
328,36,O,than
329,36,B-PRICE,150
330,36,O,rs
331,37,B-PROD,Fruit
332,37,I-PROD,Facewash
333,37,O,with
334,37,D-MORE,more
335,37,O,than
336,37,B-DISC,25%
337,37,O,discount
338,37,O,and
339,37,P-LESS,less
340,37,O,than
341,37,B-PRICE,153
342,38,B-PROD,Chocolate
343,38,I-PROD,Biscuits
344,38,O,with
345,38,D-MORE,more
346,38,O,than
347,38,B-DISC,29%
348,38,O,discount
349,38,O,and
350,38,P-LESS,less
351,38,O,than
352,38,B-PRICE,190
353,38,O,rs
354,39,O,show
355,39,O,me
356,39,B-PROD,DETERGENT
357,39,I-PROD,POWDER
358,39,O,with
359,39,O,cost
360,39,P-LESS,less
361,39,O,than
362,39,B-PRICE,100
363,40,O,show
364,40,O,me
365,40,B-PROD,DETERGENT
366,40,I-PROD,POWDER
367,40,O,with
368,40,O,cost
369,40,P-LESS,less
370,40,O,than
371,40,B-PRICE,100
372,40,O,and
373,40,O,discount
374,40,D-MORE,more
375,40,O,than
376,40,B-DISC,67%
377,41,B-PROD,Chocolate
378,41,I-PROD,Biscuits
379,41,O,with
380,41,D-MORE,more
381,41,O,than
382,41,B-DISC,78%
383,41,O,discount
384,41,O,and
385,41,P-LESS,less
386,41,O,than
387,41,B-PRICE,300
388,42,B-PROD,hair
389,42,I-PROD,oil
390,42,O,with
391,42,D-MORE,more
392,42,O,than
393,42,B-DISC,29%
394,42,O,discount
395,42,O,and
396,42,P-LESS,less
397,42,O,than
398,42,B-PRICE,190
399,42,O,rs
400,43,O,show
401,43,O,me
402,43,B-PROD,face
403,43,I-PROD,wash
404,43,O,with
405,43,O,cost
406,43,P-LESS,less
407,43,O,than
408,43,B-PRICE,100
409,44,O,show
410,44,O,me
411,44,B-PROD,face
412,44,I-PROD,wash
413,44,O,with
414,44,O,cost
415,44,P-LESS,less
416,44,O,than
417,44,B-PRICE,100
418,44,O,and
419,44,O,discount
420,44,D-MORE,more
421,44,O,than
422,44,B-DISC,67%
423,45,B-PROD,cream
424,45,I-PROD,Biscuits
425,45,O,with
426,45,D-MORE,more
427,45,O,than
428,45,B-DISC,78%
429,45,O,discount
430,45,O,and
431,45,P-LESS,less
432,45,O,than
433,45,B-PRICE,300
434,46,B-BRAND,xybnu
435,46,B-PROD,hair
436,46,I-PROD,fall
437,46,I-PROD,shampoo
438,46,O,with
439,46,D-MORE,more
440,46,O,than
441,46,B-DISC,29%
442,46,O,discount
443,46,O,and
444,46,P-LESS,less
445,46,O,than
446,46,B-PRICE,190
447,46,O,rs
448,47,O,show
449,47,O,me
450,47,B-PROD,face
451,47,I-PROD,cream
452,47,O,with
453,47,O,cost
454,47,P-LESS,less
455,47,O,than
456,47,B-PRICE,100
457,48,O,show
458,48,O,me
459,48,B-PROD,face
460,48,I-PROD,cream
461,48,O,with
462,48,O,cost
463,48,P-LESS,less
464,48,O,than
465,48,B-PRICE,100
466,48,O,and
467,48,O,discount
468,48,D-MORE,more
469,48,O,than
470,48,B-DISC,67%
471,49,B-BRAND,bghn
472,49,B-PROD,cream
473,49,I-PROD,Biscuits
474,49,O,with
475,49,D-MORE,more
476,49,O,than
477,49,B-DISC,78%
478,49,O,discount
479,49,O,and
480,49,P-LESS,less
481,49,O,than
482,49,B-PRICE,300
483,50,B-PROD,GLBOT
484,50,I-PROD,SOYA
485,50,I-PROD,SAUCE
486,50,O,with
487,50,O,price
488,50,P-LESS,less
489,50,O,than
490,50,B-PRICE,230
491,50,O,rs
492,50,O,and
493,50,D-MORE,more
494,50,O,than
495,50,B-DISC,34%
496,50,O,discount
497,51,B-PROD,GLBOT
498,51,I-PROD,SOYA
499,51,I-PROD,SAUCE
500,51,O,with
501,51,O,price
502,51,P-LESS,less
503,51,O,than
504,51,B-PRICE,230
505,51,O,rs
506,52,B-PROD,GLBOT
507,52,I-PROD,SOYA
508,52,I-PROD,SAUCE
509,52,O,with
510,52,D-MORE,more
511,52,O,than
512,52,B-DISC,59%
513,52,O,discount
514,53,B-PROD,Fruit
515,53,I-PROD,Facewash
516,53,O,with
517,53,D-MORE,more
518,53,O,than
519,53,B-DISC,25%
520,53,O,discount
521,53,O,and
522,53,P-LESS,less
523,53,O,than
524,53,B-PRICE,153
525,53,O,rupess
526,54,B-PROD,Fruit
527,54,I-PROD,Facewash
528,54,O,with
529,54,D-MORE,more
530,54,O,than
531,54,B-DISC,25%
532,54,O,discount
533,54,O,and
534,54,P-LESS,less
535,54,O,than
536,54,B-PRICE,153
537,54,O,rupess
538,55,B-PROD,Fruit
539,55,I-PROD,Facewash
540,55,P-LESS,less
541,55,O,than
542,55,B-PRICE,150
543,55,O,rs
544,56,B-PROD,Facial
545,56,I-PROD,Kit
546,57,B-PROD,Chocolate
547,57,I-PROD,Biscuits
548,58,B-PROD,Biscuits
549,59,B-PROD,FACE
550,59,I-PROD,MASK
551,60,B-PROD,hand
552,60,I-PROD,wash
553,61,B-PROD,oil
554,62,B-PROD,hair
555,62,I-PROD,oil
556,63,B-PROD,natural
557,63,I-PROD,hair
558,63,I-PROD,oil
559,64,B-PROD,WHITE
560,64,I-PROD,PETROLEUM
561,64,I-PROD,JELLY
562,65,B-PROD,WHITE
563,65,I-PROD,PETROLEUM
564,65,I-PROD,JELLY
565,65,B-QUAN,100
566,65,O,gram
567,66,B-PROD,WHITE
568,66,I-PROD,PETROLEUM
569,66,I-PROD,JELLY
570,66,B-QUAN,100
571,66,O,gm
572,67,B-PROD,WHITE
573,67,I-PROD,PETROLEUM
574,67,I-PROD,JELLY
575,67,B-QUAN,100
576,67,O,gm
577,67,O,and
578,67,O,price
579,67,P-LESS,less
580,67,O,than
581,67,B-PRICE,200
582,67,O,rs
583,68,B-PROD,WHITE
584,68,I-PROD,PETROLEUM
585,68,I-PROD,JELLY
586,68,B-QUAN,100
587,68,O,gm
588,68,O,and
589,68,O,price
590,68,P-LESS,less
591,68,O,than
592,68,B-PRICE,200
593,68,O,rupess
594,69,B-BRAND,YCMRO
595,69,B-QUAN,1.2
596,69,O,KG
597,69,B-PROD,PLBOT
598,69,I-PROD,CONTINENTAL
599,69,I-PROD,SAUCE
600,70,B-BRAND,adidas
601,70,B-PROD,shoes
602,70,O,with
603,70,D-MORE,more
604,70,O,than
605,70,B-DISC,78%
606,70,O,discount
607,71,B-BRAND,adidas
608,71,B-PROD,shoes
609,71,O,with
610,71,D-MORE,more
611,71,O,than
612,71,B-DISC,78
613,71,O,discunt
614,72,B-BRAND,adidas
615,72,B-PROD,shoes
616,72,O,with
617,72,D-MORE,more
618,72,O,than
619,72,B-DISC,78%
620,72,O,discoun
621,73,B-BRAND,adidas
622,73,B-PROD,shoes
623,73,O,with
624,73,D-MORE,more
625,73,O,than
626,73,B-DISC,78%
